127.0.0.1, 2011-11-29 18:11:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000367
127.0.0.1, 2011-11-29 18:11:56, GET, /admin/default/design/cass1, HTTP/1.1, 200, 0.072626
127.0.0.1, 2011-11-29 18:11:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000537
127.0.0.1, 2011-11-29 18:13:26, GET, /admin/default/design/cass1, HTTP/1.1, 200, 0.074647
127.0.0.1, 2011-11-29 18:13:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000372
127.0.0.1, 2011-11-29 18:13:42, POST, /admin/default/design/cass1, HTTP/1.1, 303, 0.033027
127.0.0.1, 2011-11-29 18:13:42, GET, /admin/default/design/cass1, HTTP/1.1, 200, 0.073512
127.0.0.1, 2011-11-29 18:13:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000304
127.0.0.1, 2011-11-29 18:13:55, GET, /admin/default/site, HTTP/1.1, 200, 0.036013
127.0.0.1, 2011-11-29 18:13:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000401
127.0.0.1, 2011-11-29 18:14:02, GET, /admin/default/twitter, HTTP/1.1, 200, 6.956729
127.0.0.1, 2011-11-29 18:14:03, GET, /cass1/default/index, HTTP/1.1, 200, 0.015995
127.0.0.1, 2011-11-29 18:14:03, GET, /cass1/static/plugin_sortable/jquery.ui.core.js, HTTP/1.1, 200, 0.000542
127.0.0.1, 2011-11-29 18:14:03, GET, /cass1/static/plugin_sortable/jquery.ui.sortable.js, HTTP/1.1, 200, 0.000459
127.0.0.1, 2011-11-29 18:14:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000304
127.0.0.1, 2011-11-29 18:18:26, GET, /cass1/default/user/login, HTTP/1.1, 200, 0.018666
127.0.0.1, 2011-11-29 18:18:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000342
127.0.0.1, 2011-11-29 18:18:35, GET, /cass1/admin/, HTTP/1.1, 404, 0.015360
127.0.0.1, 2011-11-29 18:18:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000329
127.0.0.1, 2011-11-29 18:18:53, GET, /cass1/appadmin/, HTTP/1.1, 200, 0.031984
127.0.0.1, 2011-11-29 18:18:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000621
127.0.0.1, 2011-11-29 18:19:42, GET, /admin/default/design/cass1, HTTP/1.1, 200, 0.075269
127.0.0.1, 2011-11-29 18:19:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000303
127.0.0.1, 2011-11-29 18:19:46, GET, /admin/default/peek/cass1/models/menu.py, HTTP/1.1, 200, 0.027811
127.0.0.1, 2011-11-29 18:19:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000961
127.0.0.1, 2011-11-29 18:20:00, GET, /admin/default/design/cass1, HTTP/1.1, 200, 0.074989
127.0.0.1, 2011-11-29 18:20:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000381
127.0.0.1, 2011-11-29 18:20:05, GET, /admin/default/peek/cass1/controllers/default.py, HTTP/1.1, 200, 0.027666
127.0.0.1, 2011-11-29 18:20:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000362
127.0.0.1, 2011-11-29 18:20:19, GET, /admin/default/edit/cass1/controllers/default.py, HTTP/1.1, 200, 0.034062
127.0.0.1, 2011-11-29 18:20:19, GET, /admin/static/edit_area/edit_area_full.js, HTTP/1.1, 200, 0.000946
127.0.0.1, 2011-11-29 18:20:19, GET, /admin/static/js/ajax_editor.js, HTTP/1.1, 200, 0.000945
127.0.0.1, 2011-11-29 18:20:19, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.000386
127.0.0.1, 2011-11-29 18:20:19, GET, /admin/static/edit_area/reg_syntax/python.js, HTTP/1.1, 200, 0.000962
127.0.0.1, 2011-11-29 18:20:19, GET, /admin/static/edit_area/langs/en.js, HTTP/1.1, 200, 0.001262
127.0.0.1, 2011-11-29 18:20:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000301
127.0.0.1, 2011-11-29 18:20:19, GET, /admin/static/edit_area/images/search.gif, HTTP/1.1, 200, 0.000404
127.0.0.1, 2011-11-29 18:20:19, GET, /admin/static/edit_area/images/go_to_line.gif, HTTP/1.1, 200, 0.000729
127.0.0.1, 2011-11-29 18:20:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000397
127.0.0.1, 2011-11-29 18:20:19, GET, /admin/static/edit_area/images/fullscreen.gif, HTTP/1.1, 200, 0.002300
127.0.0.1, 2011-11-29 18:20:19, GET, /admin/static/edit_area/images/redo.gif, HTTP/1.1, 200, 0.000461
127.0.0.1, 2011-11-29 18:20:19, GET, /admin/static/edit_area/images/undo.gif, HTTP/1.1, 200, 0.001714
127.0.0.1, 2011-11-29 18:20:19, GET, /admin/static/edit_area/images/spacer.gif, HTTP/1.1, 200, 0.001866
127.0.0.1, 2011-11-29 18:20:19, GET, /admin/static/edit_area/images/highlight.gif, HTTP/1.1, 200, 0.000307
127.0.0.1, 2011-11-29 18:20:19, GET, /admin/static/edit_area/images/smooth_selection.gif, HTTP/1.1, 200, 0.001072
127.0.0.1, 2011-11-29 18:20:19, GET, /admin/static/edit_area/images/reset_highlight.gif, HTTP/1.1, 200, 0.000365
127.0.0.1, 2011-11-29 18:20:19, GET, /admin/static/edit_area/images/word_wrap.gif, HTTP/1.1, 200, 0.000316
127.0.0.1, 2011-11-29 18:20:19, GET, /admin/static/edit_area/images/help.gif, HTTP/1.1, 200, 0.000311
127.0.0.1, 2011-11-29 18:20:19, GET, /admin/static/edit_area/images/statusbar_resize.gif, HTTP/1.1, 200, 0.000327
127.0.0.1, 2011-11-29 18:20:19, GET, /admin/static/edit_area/images/close.gif, HTTP/1.1, 200, 0.000346
127.0.0.1, 2011-11-29 18:20:19, GET, /admin/static/edit_area/images/move.gif, HTTP/1.1, 200, 0.001366
127.0.0.1, 2011-11-29 18:20:29, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.021993
127.0.0.1, 2011-11-29 18:20:39, POST, /admin/default/edit/cass1/controllers/default.py, HTTP/1.1, 200, 0.023271
127.0.0.1, 2011-11-29 18:20:45, GET, /admin/default/site, HTTP/1.1, 200, 0.035908
127.0.0.1, 2011-11-29 18:20:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000363
127.0.0.1, 2011-11-29 18:20:47, GET, /cass1/default/index, HTTP/1.1, 200, 0.014169
127.0.0.1, 2011-11-29 18:20:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000310
127.0.0.1, 2011-11-29 18:20:50, GET, /admin/default/twitter, HTTP/1.1, 200, 4.697489
127.0.0.1, 2011-11-29 18:20:59, GET, /cass1/default/index, HTTP/1.1, 200, 0.015328
127.0.0.1, 2011-11-29 18:20:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000377
127.0.0.1, 2011-11-29 18:21:27, GET, /cass1/appadmin/, HTTP/1.1, 200, 0.031215
127.0.0.1, 2011-11-29 18:21:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000437
127.0.0.1, 2011-11-29 18:21:29, GET, /admin/default/design/cass1, HTTP/1.1, 200, 0.076296
127.0.0.1, 2011-11-29 18:21:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000380
127.0.0.1, 2011-11-29 18:21:41, POST, /admin/default/create_file, HTTP/1.1, 303, 0.023822
127.0.0.1, 2011-11-29 18:21:41, GET, /admin/default/edit/cass1/controllers/cass_mgr.py, HTTP/1.1, 200, 0.032016
127.0.0.1, 2011-11-29 18:21:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000368
127.0.0.1, 2011-11-29 18:21:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000387
127.0.0.1, 2011-11-29 18:21:47, POST, /admin/default/edit/cass1/controllers/cass_mgr.py, HTTP/1.1, 200, 0.024183
127.0.0.1, 2011-11-29 18:21:51, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.021813
127.0.0.1, 2011-11-29 18:21:57, GET, /cass_mgr/, HTTP/1.1, 404, 0.000726
127.0.0.1, 2011-11-29 18:21:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000574
127.0.0.1, 2011-11-29 18:22:07, GET, /admin/default/design/cass1, HTTP/1.1, 200, 0.076679
127.0.0.1, 2011-11-29 18:22:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000619
127.0.0.1, 2011-11-29 18:22:13, GET, /admin/default/peek/cass1/controllers/cass_mgr.py, HTTP/1.1, 200, 0.028371
127.0.0.1, 2011-11-29 18:22:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000345
127.0.0.1, 2011-11-29 18:22:21, GET, /admin/default/design/cass1, HTTP/1.1, 200, 0.076982
127.0.0.1, 2011-11-29 18:22:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000593
127.0.0.1, 2011-11-29 18:22:25, GET, /admin/default/test/cass1, HTTP/1.1, 200, 0.028136
127.0.0.1, 2011-11-29 18:22:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000331
127.0.0.1, 2011-11-29 18:22:25, POST, /cass1/appadmin/_TEST, HTTP/1.1, 200, 0.162333
127.0.0.1, 2011-11-29 18:22:25, POST, /cass1/cass_mgr/_TEST, HTTP/1.1, 200, 0.176172
127.0.0.1, 2011-11-29 18:22:25, GET, /admin/static/images/dim_bullet.gif, HTTP/1.1, 200, 0.000404
127.0.0.1, 2011-11-29 18:22:25, POST, /cass1/default/_TEST, HTTP/1.1, 200, 0.193924
127.0.0.1, 2011-11-29 18:22:40, GET, /admin/default/design/cass1, HTTP/1.1, 200, 0.075453
127.0.0.1, 2011-11-29 18:22:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000314
127.0.0.1, 2011-11-29 18:22:51, POST, /admin/default/create_file, HTTP/1.1, 303, 0.022747
127.0.0.1, 2011-11-29 18:22:51, GET, /admin/default/edit/cass1/views/cass_mgr/index.html, HTTP/1.1, 200, 0.032222
127.0.0.1, 2011-11-29 18:22:51, GET, /admin/static/edit_area/reg_syntax/html.js, HTTP/1.1, 200, 0.000421
127.0.0.1, 2011-11-29 18:22:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000360
127.0.0.1, 2011-11-29 18:22:51, GET, /admin/static/edit_area/plugins/zencoding/langs/en.js, HTTP/1.1, 200, 0.000473
127.0.0.1, 2011-11-29 18:22:51, GET, /admin/static/edit_area/plugins/zencoding/zencoding.js, HTTP/1.1, 200, 0.001941
127.0.0.1, 2011-11-29 18:22:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000393
127.0.0.1, 2011-11-29 18:22:51, GET, /admin/static/edit_area/plugins/zencoding/core.js, HTTP/1.1, 200, 0.000380
127.0.0.1, 2011-11-29 18:23:01, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.021424
127.0.0.1, 2011-11-29 18:23:06, POST, /admin/default/edit/cass1/views/cass_mgr/index.html, HTTP/1.1, 200, 0.022650
127.0.0.1, 2011-11-29 18:23:31, POST, /admin/default/edit/cass1/views/cass_mgr/index.html, HTTP/1.1, 200, 0.027328
127.0.0.1, 2011-11-29 18:23:33, GET, /cass1/cass_mgr/index, HTTP/1.1, 500, 0.099373
127.0.0.1, 2011-11-29 18:23:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000343
127.0.0.1, 2011-11-29 18:23:35, GET, /admin/default/ticket/cass1/127.0.0.1.2011-11-29.18-23-33.9eb2fd03-991b-48a7-82e0-6646f79d741e, HTTP/1.1, 200, 0.075270
127.0.0.1, 2011-11-29 18:23:35, GET, /admin/static/images/ticket_section.png, HTTP/1.1, 200, 0.000428
127.0.0.1, 2011-11-29 18:23:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000316
127.0.0.1, 2011-11-29 18:23:50, GET, /cass1/appadmin/, HTTP/1.1, 200, 0.034224
127.0.0.1, 2011-11-29 18:23:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000307
127.0.0.1, 2011-11-29 18:23:54, GET, /admin/default/design/cass1, HTTP/1.1, 200, 0.079625
127.0.0.1, 2011-11-29 18:23:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000378
127.0.0.1, 2011-11-29 18:23:57, GET, /admin/default/peek/cass1/controllers/cass_mgr.py, HTTP/1.1, 200, 0.028306
127.0.0.1, 2011-11-29 18:23:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000313
